change_plants|Change Plants
stories.json/FreePlayMegaWorld.description|Build the city of your dreams on this huge world!
stories.json/FreePlayManyWorldsRandom.name|Free Play - Random Archipelago
stories.json/FreePlayManyWorldsRandom.description|Construct a complex city on this random clique of worlds.
stories.json/FreePlayEmptyCanvas.name|Free Play - Empty Canvas
stories.json/FreePlayEmptyCanvas.description|A huge, barren world that you can furnish to your desire, plus some small worlds filled with resources.
stories.json/FreePlayDivided.name|Free Play - Divided
stories.json/FreePlayDivided.description|Mind the gap! It separates forests and rocks.
stories.json/FreePlayRandomMiniWorlds.name|Free Play - Random Mini Worlds
stories.json/FreePlayRandomMiniWorlds.description|Countless tiny worlds, randomly placed in space.
stories.json/FreePlayRandomMiniWorldsAndEmptyCanvas.name|Free Play - Giga
stories.json/FreePlayRandomMiniWorldsAndEmptyCanvas.description|Many tiny mini worlds, plus a huge mostly empty one!
stories.json/FreePlayManyWorlds.name|Free Play - Archipelago Classic
stories.json/FreePlayManyWorlds.description|Construct a complex city on this clique of worlds.

FreePlay.FreePlayStart.text|Welcome to this Free Play Scenario!\nA few citizens are already here. Some more will arrive over the coming days.
FreePlay.FreePlayStart.planning.afterDoneMessage|All the people from your ship have now arrived. Of course, your population can still grow through their offspring.

theLostShip.json/Start.text|It's 2142, and earth is a wasteland. Colonizing this tiny world is humanity's only hope.\n\nFirst, you'll need some more building materials. Let's build a woodcutting center.
theLostShip.json/Start.quickText|Build a woodcutting center.
theLostShip.json/BuildStoneMine.text|Good job! Now, collect some wood and build a stone mine.
theLostShip.json/BuildStoneMine.quickText|Build a stone mine.
theLostShip.json/GatherWoodAndStone.text|Well done! Right now, nobody is going to gather stone, as everybody already has a job at the woodcutting center. Let's reassign one of these workers.
theLostShip.json/GatherWoodAndStone.quickText|Gather 6 wood and 4 stone. You'll need to reassign some workers.
theLostShip.json/BuildIndoorFarmAndHouse.text|You used a space ship to get here. Some of your friends are still on it. You'll want to give them a place to live. A steady food supply would be nice, too.\n\nTo accomplish these goals, let's build a house and an indoor farm.[nonmobi] Please note that buildings can be stacked.
theLostShip.json/BuildIndoorFarmAndHouse.quickText|Build a house and an indoor farm.
theLostShip.json/SpawnMorePeople.text|Good job! Some more people will arrive soon.\nIt could be helpful to learn some more about this world. In particular, the alien ruins look quite interesting. Let's build an exploration center to learn all about them and maybe get some useful resources too.
theLostShip.json/SpawnMorePeople.quickText|Build an exploration center.
theLostShip.json/NowArrivingRegularly.text|New people will now start arriving regularly. Make sure to keep them fed and housed. Also, children can be born from now on. You can build a school for them if you want.[n]\nTo build up your city, you'll need lots of stone, so let's build one more stone mine.
theLostShip.json/NowArrivingRegularly.quickText|Build a second stone mine.
theLostShip.json/StoneMineUpgrade.text|[c]Your stone miners have good equipment thanks to the Better Pickaxes upgrade. Great job![/][n]Your stone miners are currently working with low-quality mining equipment. Better pickaxes would improve their mining speed. Upgrade at least one of your stone mines. To do so, [nonmobi]click[mobi]tap[/] on the stone mine, then on the Better Pickaxes upgrade.
theLostShip.json/StoneMineUpgrade.quickText|Upgrade a stone mine with better pickaxes.
theLostShip.json/Happiness.text|Now that you've got a pretty good economy, it's time to focus on your citizens' wellbeing for a bit. Not that there's no economic advantage to that at all, as happy citizens work faster. To make them more happy, let's build a pub. Also, make sure you have at least 10 food.
theLostShip.json/Happiness.quickText|Build a pub and have at least 10 food.
theLostShip.json/BuildMachinePartsFactory.text|Great job! Make sure there's actually someone working at the pub or it won't have any effect.\nThe city will need machines. [c]Fortunately, you looked ahead and have already built a machine parts factory.[/c][n]Let's build a machine parts factory to be able to construct them.[/n]
theLostShip.json/BuildMachinePartsFactory.quickText|Build a machine parts factory.
theLostShip.json/GetMinHappiness.text|The machine parts factory uses lots of stone, so make sure you have enough! If you need stone for something else, just switch it off for a while.[n]\nIt's always nice to see happy faces, isn't it? Let's make sure the happiness in your city is at least 52. Just [nnonmobi]click[nmobi]tap[n] on the Happiness button if you'd like to see which areas could use improvement.[/n]
theLostShip.json/GetMinHappiness.quickText|Bring the happiness in your city above 52.
theLostShip.json/BuildStoneTeleporter.text|The amount of stone on this planet is quite limited. Fortunately, you've just thought of a way to solve that problem: a rock teleporter could teleport mineable rocks from elsewhere. Let's research and build one. You may want to build some labs to get more knowledge.
theLostShip.json/BuildStoneTeleporter.quickText|Build a rock teleporter.
theLostShip.json/BuildObservatory.text|Well done! You'll never run out of stone now. Keep your stone mines, as you need those workers to mine the meteroids.\nYour population is growing quickly, and this world is quite small. It's probably a good idea to look for other worlds to colonize, so let's build an observatory.
theLostShip.json/BuildObservatory.quickText|Build the observatory.
theLostShip.json/Win.title|Scenario Complete!
theLostShip.json/Win.text|Great job! Your scientists will now look for other worlds to colonize. You can play the next scenario to see what they'll find.\nIf you'd like to continue improving this city, you can always go to the next scenario later from the menu. Either way, you can always return to this city later.

multipleWorlds.json/Start.text|Soon after building the observatory, your scientists found a world that looked promising. You decided to fly there and take a look. Apparently, your scientists didn't look very closely, because what they thought to be one world are actually multiple tiny worlds. Still, this looks like a fairly suitable location to build a city.\nTo get started, let's build a woodcutting center, a stone mine, an indoor farm and a house.
multipleWorlds.json/Start.quickText|Build a woodcutting center, a stone mine, an indoor farm and a house.
multipleWorlds.json/MorePeople.text|That's a good start! You've invited some people from your previous city. They'll arrive in the coming days.\nYour citizens don't seem very happy right now. Let's build a pub to cheer them up a bit.
multipleWorlds.json/MorePeople.quickText|Build a pub.
multipleWorlds.json/GoBuildMPF.text|The pub should make your citizens a bit less sad! To get to the other worlds, you'll need machine parts, so let's create a machine parts factory.
multipleWorlds.json/GoBuildMPF.quickText|Build a machine parts factory.
multipleWorlds.json/MachinePartsFactoryBuilt.text|The machine parts factory is very useful, but currently not very efficient. Let's upgrade it to recycle scrap metal. This will reduce the amount of stone it uses.
multipleWorlds.json/MachinePartsFactoryBuilt.quickText|Upgrade your machine parts factory to make it recycle scrap metal.
multipleWorlds.json/GoToOtherWorlds.text|[c]You already built some landing pads to connect worlds. Great job![/][n]Good job! Now, it's finally time to get to another world. The easiest way to do that is by building landing pads. Let's build two of them: one on your current world and one on another world you'd like to populate.[/]
multipleWorlds.json/GoToOtherWorlds.quickText|Connect the currently populated world with another by building landing pads.
multipleWorlds.json/GoToOtherWorldsDone.text|[c]You already built an experimental farm! Well done![/][n]Now that your city has some more space, it'll probably grow rapidly. You'll soon have many more mouths to feed. To make that a bit easier, let's build an experimental farm.[/]
multipleWorlds.json/GoToOtherWorldsDone.quickText|Build an experimental farm.
multipleWorlds.json/GoBuildRefinedMetalFactory.text|[c]You already built a refined metals factory! Good job![/][n]To build some types of buildings, raw stone isn't good enough. You'll need to refine it first. Let's build a refined metals factory to do just that.[/]
multipleWorlds.json/GoBuildRefinedMetalFactory.quickText|Build a refined metals factory.
multipleWorlds.json/GetHighHappiness.text|[c]Wow, I'm impressed! You already got the happiness high enough to beat this goal.[/][n]Refined metals are nice, but happy citizens are certainly even nicer. So let's use some of these refined metals to improve the happiness of your citizens. Bring it to at least 80.[/]
multipleWorlds.json/GetHighHappiness.quickText|Bring the happiness above 80.
multipleWorlds.json/Win.title|Scenario Complete!
multipleWorlds.json/Win.text|Your citizens are really happy now, and they wouldn't want to live anywhere else. Great job!\n\nYou can now play the next scenario, or continue improving your city if you'd like. Thanks for playing!

hackersandaliens.json/Start.text|Humanity is slowly colonizing space. This is the newest outpost. It is still quite small, but new people are arriving quickly.\nYou don't want them to be homeless, of course. To prevent this, build houses until you have at least fifty capacity. It's also a good idea to build some more production buildings and entertainment.
hackersandaliens.json/Start.quickText|Build houses until you have fifty capacity in total.
hackersandaliens.json/ExploreAlienRuins.text|(this story event is for compatibility reasons)
hackersandaliens.json/ExploreAlienRuins.quickText|Explore the alien ruins on this world.
hackersandaliens.json/ExploreAlienRuins2.text|Well done!\nThe alien ruins here look different from the ones you saw before. Let's explore them to find out more.\n\nAlso, some of the worlds here have a strange glow. Let's build a research craft to investigate this while you're exploring the ruins.
hackersandaliens.json/ExploreAlienRuins2.quickText|Build a research craft and explore the alien ruins on this world.
hackersandaliens.json/InTheMeantime2.text|Now you've built the spacecraft, it's time to do some research! Make sure a worker is assigned to the research spacecraft and wait until they explored a bit.
hackersandaliens.json/InTheMeantime2.quickText|Assign a worker to the research spacecraft and wait until they explored a bit.
hackersandaliens.json/InTheMeantime3.text|The worker in the research spacecraft noticed a strange power prevented them from getting close to the glowing worlds. This also means you can't build on them. Maybe the alien ruins can help?
hackersandaliens.json/InTheMeantime3.quickText|Explore the alien ruins on this world.
hackersandaliens.json/BuildRefinedMetalsFactory.text|While investigating the alien ruins, your explorers found a small device. You think it could have something to do with the inaccessible worlds.\nHowever, none of your citizens has been able to make sense of it. Maybe having some computers would help? To build them, you will first need some refined metals. Build a Refined Metals Factory to produce those.
hackersandaliens.json/BuildRefinedMetalsFactory.quickText|Build a Refined Metals Factory.
hackersandaliens.json/BuildComputerResearchCenter.text|Your new refined metals factory is looking good!\nBuilding a computer is actually pretty complicated. Therefore, you will need to build the Computing Research Center first.
hackersandaliens.json/BuildComputerResearchCenter.quickText|Build the Computing Research Center.
hackersandaliens.json/BuildComputerChipFactory.text|Great job! Now, you just need some chips to be able to make a computer. Let's build a Computer Chip Factory and make five computer chips.
hackersandaliens.json/BuildComputerChipFactory.quickText|Build a Computer Chip Factory and make five computer chips.
hackersandaliens.json/BuildArcades.text|You built a computer and plugged in the alien device... but there's a bit of a problem. All the data is encrypted!\nMaybe the Hackers of the Bolt can help. However, before they want to settle here, they request you to build three Arcades.
hackersandaliens.json/BuildArcades.quickText|Build three arcades.
hackersandaliens.json/BuildHackers.text|The Hackers of the Bolt seem satisfied with your city. Let's build their HQ now!
hackersandaliens.json/BuildHackers.quickText|Build the Hackers of the Bolt HQ.
hackersandaliens.json/CompleteHackerMissions.text|The Hackers of the Bolt have taken a look at the encrypted data, but they need some more experience to be able to crack it. Let's complete a few of their missions to help them with that!
hackersandaliens.json/CompleteHackerMissions.quickText|Complete a few Hackers of the Bolt missions.
hackersandaliens.json/BuildDecryptBuilding.text|The Hackers of the Bolt think they can now crack the encryption, but they need a specialized computer first. Let's build the Alien Decryptor for them!
hackersandaliens.json/BuildDecryptBuilding.quickText|Build the Alien Decryptor.
hackersandaliens.json/Wait.text|Great job! Now the only thing left to do is to wait while the Decryptor does its job. This should take no more than a day.
hackersandaliens.json/Wait.quickText|Let the Decryptor do its job.
hackersandaliens.json/Win.title|Scenario Complete!
hackersandaliens.json/Win.text|The decryption succeeded, and the Hackers of the Bolt will soon be able to remove the restrictive glow from the locked worlds. You can now continue to build an amazing city here! You have also been invited to the City of the Key. Go to the next scenario to accept this invitiation.

priority|priority
no_destroy_allowed|Your citizens don't want to destroy buildings right now!
previous_city_arrived|All the people from your previous city have now arrived. Of course, your population can still grow through their offspring.
moved_here_arrived|The people who wanted to move here have now all arrived. Of course, your population can still grow through their offspring.

decorationsInfo.json/spr_decoration_keycity.name|Dry Grass
decorationsInfo.json/spr_flowers_keycity.name|Dry Grass with Flowers
secret_society_forbidden|The Key wouldn't want that.
citizens_unhappy_key|The Key needs your citizens to be at least moderately happy, otherwise they are slow and useless. You are advised to fix their problems, however ordinary.
slanted_roofs|Slanted Roofs
buildinginfo.json/ColoredBlock.name|Painted Block
buildinginfo.json/ColoredBlock.description|A building painted in a single color for decoration purposes, or as a placeholder.
colored_blocks|Painted Blocks
stone_warning|Warning! There are no more rocks on a reachable world! Try building a rock teleporter. If needed, gather some machine chips with the Workshop first.
mines_warning|Warning! You seem to have far more rock teleporters than stone mines. Rock teleporters only teleport rocks. They don't normally produce stone. You need stone mines to actually mine the meteroids.
buildinginfo.json/RooftopDecoration.name|Slanted Roof
buildinginfo.json/RooftopDecoration.description|A nice slanted roof for decoration purposes.
slanted_rooftops|Slanted Rooftops
buildinginfo.json/RooftopDecoration2.name|Slanted Rooftop
buildinginfo.json/RooftopDecoration2.description|The top of a slanted roof.
buildableWorldResourcesInfo.json/BranchyForest.name|Branchy Forest
buildableWorldResourcesInfo.json/BranchyForest.description|Plant young trees which will grow to a branchy forest.
invite_people|Invite Citizens
invite_people_description|To invite [0] more people to your city, you must have enough houses for them and pay:
invite_people_done|You can't find anyone who wants to be invited to your city anymore.
invite_not_enough_houses|There are not enough houses to invite more people.
cant_afford|You can't afford that!
invite_people_success|You invited [0] people! They'll arrive soon.

glory_of_the_key|Glory of the Key
luxury_housing|Luxury Housing
high_end_restaurants|Upscale Restaurants
sculptures|Sculptures
buildinginfo.json/LuxuryRestaurant.name|Upscale Restaurant
buildinginfo.json/LuxuryRestaurant.description|A highly rated restaurant with exclusive meals and a stylish atmosphere.
buildinginfo.json/HouseOfTheKeyFriends.name|Friends of the Key
buildinginfo.json/HouseOfTheKeyFriends.description|A house for friends of the Secret Society of the Key. As long as The Machine exists, people in this house live forever.
get_premium_to_unlock|Get Premium to unlock this! I really appreciate your support!

stories.json/cityofthekey.name|City of the Key
stories.json/cityofthekey.description|The Secret Society of the Key generously invites you to manage their glorious city.
cityofthekey.json/Start.text|We, the Secret Society of the Key, hope and expect you are grateful to have arrived in our beautiful city. We want to build a city that proves our greatness, but we are tired of dealing with day-to-day business - we anticipate you can help.
cityofthekey.json/Start.quickText|Wait for your first mission.
cityofthekey.json/InvitePeople.text|Nowadays, there is a lot of competition between cities. People don't just move to a new colony for free, not even to the glorious City of the Key. They want food as a relocation reward, and who knows what else they'll want in the future. We think this is ridiculous, but it is how it is. Please invite a few more citizens.
cityofthekey.json/InvitePeople.quickText|Invite some citizens using the Management option.
cityofthekey.json/ImproveEconomy.text|You can invite new people whenever you desire.\n\nWe feel there may be room for improvement in the production department. We'd like you to produce at least 100 food, 100 stone and 50 knowledge in a day. It may be a good idea to disable our teleporters once in a while, as they seem to require a lot of knowledge.
cityofthekey.json/ImproveEconomy.quickText|Produce at least 100 food, 100 stone and 50 knowledge in a day.
cityofthekey.json/BuildSculptures.text|The people in this city, rightfully, care about the Glory of the Key. Build five sculpture gardens to improve our Glory, and thus the happiness of our citizens.
cityofthekey.json/BuildSculptures.quickText|Build five sculpture gardens.
cityofthekey.json/HaveEnoughPeople.text|[c]We are pleased to see our city has successfully grown to 300 citizens.[/][n]We would like to see our city grow to at least 300 citizens. Maybe you can invite a few people.
cityofthekey.json/HaveEnoughPeople.quickText|Have at least 300 citizens in your city. You can use the invitiation feature.
cityofthekey.json/GatherKnowledge.text|Our city should gather all the knowledge in the universe. To start, gather at least 150 in a day.
cityofthekey.json/GatherKnowledge.quickText|Gather at least 150 knowledge in a day.
cityofthekey.json/BuildLuxuryRestaurants.text|It is time for some more glory and luxury. Please build an upscale restaurant for us to improve the Glory of the Key.
cityofthekey.json/BuildLuxuryRestaurants.quickText|Build an upscale restaurant.
cityofthekey.json/BuildTeleporters.text|Having good transportation is important. [c]We are pleased to see you understand that and have already built some teleporters.[/][n]There should be at least five teleporters in our city.
cityofthekey.json/BuildTeleporters.quickText|Have at least five teleporters in your city.
cityofthekey.json/ImproveOurHousing.text|It's good to care for our citizens, but in the end we are obviously the most important. Our house is fine, but it could be better. Research Secretive Living in the Living Research Center.
cityofthekey.json/ImproveOurHousing.quickText|Research Secretive Living in the Living Research Center.
cityofthekey.json/BuildLuxuryHousing.text|Now that our house is better, it is time to build some great homes for people we like, too. Build three villas. This increases the Glory of the Key.
cityofthekey.json/BuildLuxuryHousing.quickText|Build three villas.
cityofthekey.json/FinalGlory.text|The Key should be ever glorious. [c]We are pleased to see that it indeed is.[/][n]Improve the Glory of the Key to 100.
cityofthekey.json/FinalGlory.quickText|Improve the Glory of the Key to 100. You can check it in the Happiness window.
cityofthekey.json/GatherKnowledge2.text|We have said it before, but we want to stress that knowledge is really important to us. Therefore, gather at least 750 knowledge in a day.
cityofthekey.json/GatherKnowledge2.quickText|Gather at least 750 knowledge in a day.
cityofthekey.json/BuildTheMachine.text|Now that we have gathered enough knowledge, it is time to build our secret project. We would like you to build the Machine.
cityofthekey.json/BuildTheMachine.quickText|Build the Machine.
cityofthekey.json/Win.title|Scenario Complete!
cityofthekey.json/Win.text|We are quite pleased with your work. Therefore, you can now build a house for the Friends of the Key, who will live forever just like us.

gdpr_description_1|Thank you for playing The Final Earth 2! Partner companies may collect some data about you to improve the game, to handle your purchases and to show ads. I always try to limit this as much as possible.
more_info|More Info
gdpr_description_2|To help support the game, I ask for your optional consent to show personalized ads. This uses some data about your activity in this game and other apps to show better ads.
gdpr_option_accept|Accept
gdpr_option_reject|Don't Consent
changes_apply_on_reload|This change will apply the next time you start the game.
task_complete|Task Complete!
please_wait|Please Wait...
tip|Tip

floating_platform|Floating Platform
floating_platform_cannot_destroy|You can't destroy a floating platform that's supporting buildings.
floating_platform_description|You can place buildings on this strong platform.
stories.json/FreePlayMiniWorld.name|Free Play - Mini World
stories.json/FreePlayMiniWorld.description|This world is tiny, but it does have some advanced tech.
domeroofs|Dome Roofs
buildinginfo.json/RooftopDecoration3.name|Dome Roof
buildinginfo.json/RooftopDecoration3.description|A dome that can be placed on a roof.
buildinginfo.json/TreePlantationDome.name|Dome Tree Plantation
buildinginfo.json/TreePlantationDome.description|Because of the optimal light conditions, these trees regrow even faster than those in a tree plantation.
premium_advantage_2|Commute Explorer to view citizen travel
premium_advantage_3|Creative mode options for free play
premium_advantage_4|Remove all ads & Boost without an ad
premium_advantage_5|More in the future!

resume|Resume
tap_anywhere|Tap Anywhere

build_mode_destroyleavinghole_explanation|Destroy a building, then leave a hole instead of moving the buildings above downwards.
build_mode_destroyleavinghole|Destroy, Leaving a Hole
invalid_structure_2|You can't destroy this building and leave a hole as that would result in an invalid structure.
roof_bottoms|Slanted Roof Bases
buildinginfo.json/RooftopDecoration4.name|Slanted Roof Base
buildinginfo.json/RooftopDecoration4.description|A bottom piece for two slanted roofs.
save_screenshot_failed|Unfortunately, we couldn't save your screenshot. Your city is probably too big to be able to screenshot it.
bridge_is_potential|This bridge doesn't fit here right now.

premium_advantage_6|New resource: graphene!
premium_advantage_1|10+ new buildings, including the Train Station and Aquarium!
premium_advantage_7|Floating Platforms and bridges to build even more creative cities

citizens_unhappy_food|Your citizens don't have enough food! This makes them very unhappy and they'll work slower. Try building more farms, assigning more workers to farms, or building farms closer to homes to reduce travel time. 
limited_per_citizens|Limit: 1 per [0] citizens
buildinginfo.json/SpecializedMedicalClinic.name|Specialized Medical Clinic
buildinginfo.json/SpecializedMedicalClinic.description|Specialized in treating complicated diseases. It improves medical happiness and makes citizens live longer.

build_mode_multi_replace_explanation|Drag to quickly build or replace buildings.
build_mode_multi_replace|Building mode: Multi Replace
bridgesInfo.json/Bridge.name|Bridge
bridgesInfo.json/Bridge.description|This footbridge connects two buildings at most three spaces apart. Space ships from Landing Pads can travel through it.
bridgesInfo.json/ReinforcedBridge.name|Reinforced Bridge
bridgesInfo.json/ReinforcedBridge.description|This footbridge connects two buildings at most seven spaces apart. Space ships from Landing Pads can travel through it.
buildinginfo.json/TechMuseum.name|Science Museum
buildinginfo.json/TechMuseum.description|A museum for science and technology. It improves art happiness and also educates visitors.

decorationsInfo.json/spr_snowman.name|Snowman
decorationsInfo.json/spr_lanterns.name|Decorated Lanterns
buildingUpgradesInfo.json/MiniChristmasTree.name|Small Christmas Tree
buildingUpgradesInfo.json/MiniChristmasTree.description|This Christmas tree makes the house feel more welcoming.
buildinginfo.json/ChristmasTree.name|Christmas Tree
buildinginfo.json/ChristmasTree.description|A big Christmas tree for the whole city to enjoy.
buildinginfo.json/ChristmasMarket.name|Christmas Market
buildinginfo.json/ChristmasMarket.description|A festive market with delicious and warming food and drinks.
buildableWorldResourcesInfo.json/ForestSnow.name|Snowy Forest
buildableWorldResourcesInfo.json/ForestSnow.description|A snow-covered forest.
stories.json/snowWorld.name|Winter Land
stories.json/snowWorld.description|Build a winter paradise on this snowy world.
buildinginfo.json/ChristmasTree.showUnlockHint|Reach at least 60 happiness to unlock.
snowWorld.json/Start.text|Welcome to this snowy world! This is a great place to celebrate the holidays. But first, let's build a small base, with at least three houses, two indoor farms, a stone mine and a woodcutting center.
snowWorld.json/Start.quickText|Build three houses, two indoor farms, a stone mine and a woodcutting center.
snowWorld.json/ChristmasTreesInHouses.text|That's definitively a nice little base, but these houses don't look very festive. Let's add a small Christmas tree to each one to fix this.
snowWorld.json/ChristmasTreesInHouses.quickText|Add a Christmas tree to add least three houses.
snowWorld.json/ChristmasMarket.text|That's better! A Christmas market can provide your citizens with delicious traditional foods and drinks, such as Lebkuchen and Glühwein. Let's build three of them.
snowWorld.json/ChristmasMarket.quickText|Build three Christmas markets.
snowWorld.json/ChristmasTree.text|You have some small Christmas trees, but it'd be nice to have a large one as a center for the celebrations. Let's reach 65 happiness first, then build a Christmas tree for the whole city.
snowWorld.json/ChristmasTree.quickText|Reach 65 happiness, then build a Christmas tree for the whole city.
snowWorld.json/Win.text|You've built a great place to celebrate the holidays and your citizens are enjoying themselves very much! If you want to, you can keep playing and improve this city even more.\n\nThank you for playing, I hope you have very happy holidays too, just like your citizens! - Florian

buildinginfo.json/Loft.name|Loft Apartment
buildinginfo.json/Loft.description|A rooftop apartment with a high ceiling and lots of light, perfect for artists. Generates a small amount of art happiness.
buildingUpgradesInfo.json/SoundProofing.name|Soundproofing
buildingUpgradesInfo.json/SoundProofing.description|Improves housing quality by 12.

policiesInfo.json/FoodRationing.name|Food Rationing
policiesInfo.json/FoodRationing.description|Your citizens consume half as much food. However, their happiness is reduced by a third if it's above 10.
policiesInfo.json/SmallerClasses.name|Smaller Class Sizes
policiesInfo.json/SmallerClasses.description|Schools give a 15% better education, but their capacity is reduced by a third.
policiesInfo.json/MandatoryOvertime.name|Mandatory Overtime
policiesInfo.json/MandatoryOvertime.description|Your citizens work two hours per day longer. Their happiness goes down gradually while this policy is implemented. After you end it, happiness starts to restore again slowly after a day.

restore_purchases|Restore Purchases
restoring_purchases|Restoring Purchases...

following_frog|Following Giant Frog
cant_find_frog|The giant frog has disappeared.
total_extra_years|Total extra years given: [0]

reduce_ui_size|Reduce UI Size:

buildinginfo.json/UnderwaterHouse.name|Underwater House
buildinginfo.json/WizardHatCafe.name|Wizard Hat Cafe
buildinginfo.json/WizardHatCafe.description|A possibly magical rooftop cafe. Seems to occasionally spawn giant frogs.
buildinginfo.json/LandingSiteTunnel.name|Indoor Landing Pad 
buildinginfo.json/LandingSiteTunnel.description|A landing pad that can be integrated into a building. It can also be connected to space ship tunnels.
buildinginfo.json/SpaceShipTunnel.name|Space Ship Tunnel
buildinginfo.json/SpaceShipTunnel.description|Space ships can pass through this tunnel.
bridgesInfo.json/BotanicalBridge.name|Park Bridge
bridgesInfo.json/BotanicalBridge.description|A reinforced bridge that can nicely connect parks or botanical gardens. Can be up to seven spaces wide.
buildinginfo.json/AlienFarm.name|Alien Farm
buildinginfo.json/AlienFarm.description|A farm that grows strange purple crops. Produces more food for each adjacent alien house. Not affected by lab technology.
cityUpgradesInfo.json/EcoFarmUpgrade.name|Permaculture
cityUpgradesInfo.json/EcoFarmUpgrade.description|Eco farms produce more food.
buildinginfo.json/BotanicalGardensDome.name|Dome Botanical Gardens
buildinginfo.json/BotanicalGardensDome.description|A stylish roof for your botanical gardens.

build_rocket|Build Rocket
rocket_description|A rocket can be used to explore space. Rockets can be used only once.
rocket_launch_cant_destroy_while_executing|You can't destroy a rocket launch platform while executing a mission.

rocket_reward_nothing|Your rocket returned safely, but they didn't find anything special during their mission.
rocket_reward_fossils|Your miners found a fossil! They also gathered [0] stone.
rocket_reward_stone|Your miners gathered [0] stone.
rocket_reward_refinedmetals|Your miners found some shiny crystals that can be used as [0] refined metals.
rocketFuel|Rocket Fuel
rocketFuel_use|Used for rocket missions.
buildingUpgradesInfo.json/FactoryUsingWood.name|Use Wood
buildingUpgradesInfo.json/FactoryUsingWood.description|The factory will use wood to make rocket fuel.
buildingUpgradesInfo.json/FactoryUsingFood.name|Use Food
buildingUpgradesInfo.json/FactoryUsingFood.description|The factory will use food to make rocket fuel.
rocket_fuel_made|[0] food/wood used to make [1] rocket fuel.
buildinginfo.json/RocketFuelFactory.name|Rocket Fuel Factory
buildinginfo.json/RocketFuelFactory.description|Makes rocket fuel from wood or food. One resource is used to make one unit of rocket fuel.
buildinginfo.json/GlassPiece.name|Decorative Window
buildinginfo.json/GlassPiece.description|A window for decorative purposes, or as a placeholder.
fuel_cost|Uses [0] rocket fuel.
mission_warning_too_little_fuel|You need enough rocket fuel!
mission_warning_too_small_crew|You need to pick four crew members to start a mission!
mission_warning_already_started|You're already executing this mission!
mission_warning_no_crew_found|We couldn't find the right workers for this crew, or they couldn't reach the rocket!
mission_complete|Your rocket mission returned!
rocket_unlock_AlienFarm|Your biologists found a blueprint to build an alien farm, along with some strange seeds that you might be able to grow there.
rocket_unlock_WizardHatCafe|Your explorers found a planet with a strange hat-shaped building. It feels a bit magical. You can now build it.
rocket_unlock_RocketFuelFactoryEfficiency|Your engineers thought of a way to make rocket fuel more efficiently, which you can now research at rocket fuel factories.
rocket_unlock_UnderwaterHouse|Your explorers discovered a planet fully covered by oceans. They saw underwater houses, and discovered how to build them.
buildinginfo.json/OldestTreeIntheUniverse.name|Oldest Tree in the Universe
buildinginfo.json/OldestTreeIntheUniverse.description|Makes citizens who visit it live longer.
rocket_unlock_OldestTreeIntheUniverse|Your biologists found a tree that looks really old. They think it's likely the oldest tree in the universe.
buildingUpgradesInfo.json/RocketFuelFactoryEfficiency.name|Metabolic Engineering
buildingUpgradesInfo.json/RocketFuelFactoryEfficiency.description|Rocket fuel is produced faster and uses half the resources.
buildingUpgradesInfo.json/RefinedMetalFactoryEfficiency.name|Optimized Temperature Curve
buildingUpgradesInfo.json/RefinedMetalFactoryEfficiency.description|The factory works faster and uses one less stone per unit of refined metal produced.
rocket_unlock_RefinedMetalFactoryEfficiency|You found a world covered with machines, where your engineers discovered a way to improve refined metal factories.

unlimited_resources_disables_achievements|Note: Achievements are disabled in saves that have ever used unlimited resources.
steam_workshop|Steam Workshop
get_mods|Get Mods
open_workshop|Open the Workshop to get mods
manage_mods|Manage Installed Mods
manage_mods_explain|Mods are automatically activated. You can deactivate them here.
create_mods|Upload Your Mods
new_mod_workshop|Create New Mod
load_more|Load More
manage_mod|Manage Mod:
untitled_mod|Untitled Mod
open_workshop_for_mod|Open the Workshop to customize your mod page and change other settings
upload_mod_content|Upload Mod Content
upload_mod_content_explainer|Create a directory in <tt>%localappdata%\the-final-earth-2\User Data\Default\mods</tt> to develop your mod. Then, choose the directory below, change other info if desired and click Upload to upload your mod.
no_mods_found_refresh|No mods found - click to refresh
choose_subdirectory|Choose Directory
upload|Upload
please_choose_subdirectory|Please choose a directory.

buildinginfo.json/TrainRail.name|High-Speed Rail
buildinginfo.json/TrainRail.description|Trains can go extra fast here.
buildinginfo.json/TrainRail.showUnlockHint|Build ten train stations to unlock!
change_dome_variant|Change Dome Variant

minimum_wait_between_trains|Min wait between departures:
reset_minimum_wait_between_trains|Reset minimum wait between departures.
find_homeless|Find Homeless Person

capacity|[0] capacity
entertainment_window_explain|This shows the capacity of your entertainment per type.
total|Total

rocket_unlock_OtherworldlyZoo|You explored a lush planet. Your explorers took some plants and creatures with them, so you can now build the Otherworldly Zoo.
mission_in_progress|Mission in progress...
prepare_mission|You can now prepare a mission.
choose_destination|Choose Destination
nearby_space|Nearby Space
nearby_space_explain|Lower fuel cost and shorter journey time.\n[0]% explored
distant_space|Distant Space
distant_space_explain|Potential for more exotic findings, but takes longer and a higher fuel cost.\n[0]% explored
buildinginfo.json/OtherworldlyZoo.name|Otherworldly Zoo
buildinginfo.json/OtherworldlyZoo.description|A zoo with otherworldly plants and animals.
everything_found|(Everything found)
